,Composition_Formula,Equilibrium_Pressure_25C,Heat_of_Formation_kJperMolH2,bin,3bin_limit,2bin_real,element,pred_elements,ln_pressure,regression_pred,regression_bin_pred,regression_bin_pred_median,binary_heat
78,Zr1Cr1Fe1.2,0.2545178258069306,-34.0,1,1,1,"['Zr', 'Cr', 'Fe']",1,-1.3683844029810368,-35.92060726555428,1,0,1
79,Zr1Cr1Fe1.6,2.0599254873958057,-29.1,1,1,1,"['Zr', 'Cr', 'Fe']",1,0.7226698109802127,-30.260346080853,1,1,1
80,Zr1Cr1Fe1.8,6.318756191293226,-19.0,0,0,2,"['Zr', 'Cr', 'Fe']",1,1.843522383614964,-27.22631747064375,1,1,1
81,Zr1Cr1Fe1Co0.8,20.926699927688897,-20.0,0,0,2,"['Zr', 'Cr', 'Fe', 'Co']",1,3.0410258521529516,-23.984803043970768,1,1,1
82,Zr1Cr1Fe1Cu0.8,3.237801267487753,-28.0,1,1,1,"['Zr', 'Cr', 'Fe', 'Cu']",1,1.1748944782909256,-29.03622204138383,1,1,1
83,Zr1Mn0.8Cr1Fe1,0.6546556030591566,-32.0,1,1,1,"['Zr', 'Mn', 'Cr', 'Fe']",1,-0.4236459784827751,-33.363300908703195,1,1,1
84,Zr1Cr1Fe1Ni0.8,17.371038036919114,-21.0,1,1,1,"['Zr', 'Cr', 'Fe', 'Ni']",1,2.8548043387966886,-24.488884859147618,1,1,1
85,Zr1Cr1Fe1.4,1.0588798903699246,-21.0,1,1,1,"['Zr', 'Cr', 'Fe']",1,0.05721164221711107,-32.061670512110425,1,1,1
86,Zr1Cr0.6Fe1.4,3.685265379173311,-29.9,1,1,1,"['Zr', 'Cr', 'Fe']",1,1.3043425391061545,-28.685819919250775,1,1,1
87,Zr1Cr1Fe1.5,1.5969977784509388,-23.0,1,1,1,"['Zr', 'Cr', 'Fe']",1,0.4681254781554763,-30.949370496027846,1,1,1
88,Zr1V0.5Fe1.5,0.0915169782434661,-32.2,1,1,1,"['Zr', 'V', 'Fe']",1,-2.3912307693403823,-38.68934350718854,1,0,1
89,Zr1Al0.4Fe1.6,10.500875281684012,-36.0,1,1,1,"['Zr', 'Al', 'Fe']",1,2.3514586138495948,-25.85138816029644,1,1,0
90,ZrCrFe,0.0214009528751074,-49.4,2,2,2,"['Zr', 'Cr', 'Fe']",1,-3.8443198310714455,-42.62270093002137,2,0,0
91,ZrMnFe,0.2486653192057567,-31.0,1,1,1,"['Zr', 'Mn', 'Fe']",1,-1.3916473862047731,-35.98357768502142,1,0,1
92,ZrFeMo,0.492084862510974,-29.8,1,1,1,"['Zr', 'Fe', 'Mo']",1,-0.7091040925852156,-34.136005639323834,1,1,1
93,ZrVFe,0.0002674450339042,-48.1,2,2,2,"['Zr', 'V', 'Fe']",1,-8.226596493474233,-54.48505740418997,2,0,0
94,Zr1Mn1.11Fe1.22,1.6446542301702736,-29.4,1,1,1,"['Zr', 'Mn', 'Fe']",1,0.4975301676980253,-30.8697751312809,1,1,1
95,Zr1Mn1.22Fe1.11,1.0360513734668595,-13.0,0,0,2,"['Zr', 'Mn', 'Fe']",1,0.035416730896307196,-32.12066701719838,1,1,1
96,Zr1Mn1.22Fe1.14,1.0986902644747123,-31.0,1,1,1,"['Zr', 'Mn', 'Fe']",1,0.0941188017358742,-31.961766759703213,1,1,1
97,Zr1Mn1.2Fe0.4,0.1428165264580558,-33.0,1,1,1,"['Zr', 'Mn', 'Fe']",1,-1.9461945042740363,-37.48467770745899,1,0,1
98,Zr1Mn1.53Fe1.27,4.099289378437095,-9.0,0,0,2,"['Zr', 'Mn', 'Fe']",1,1.410813636355795,-28.39761399181428,1,1,1
99,Zr1Mn1.8,0.0297923909389378,-38.8,1,1,1,"['Zr', 'Mn']",1,-3.5135022556945152,-41.72721296580652,2,0,0
100,ZrMn2,0.0031122963116446,-37.4,1,1,1,"['Zr', 'Mn']",1,-5.77239446137463,-47.84179372936025,2,0,0
101,Zr1Mn2.5,0.0257851997667297,-32.0,1,1,1,"['Zr', 'Mn']",1,-3.657954604108423,-42.11823009740794,2,0,1
102,Zr1Mn2.6Fe0.2,0.0355614117897666,-15.0,0,0,2,"['Zr', 'Mn', 'Fe']",1,-3.3364941675000392,-41.248070911862655,2,0,1
103,Zr1Mn2.7,0.1967651633671726,-33.6,1,1,1,"['Zr', 'Mn']",1,-1.6257443254437693,-36.6172531821869,1,0,1
104,Zr1Mn2.8,0.3254604522221802,-29.9,1,1,1,"['Zr', 'Mn']",1,-1.1225143232644295,-35.25506313025282,1,0,1
105,Zr1Mn2.8Fe0.4,0.0185896462924656,-23.0,1,1,1,"['Zr', 'Mn', 'Fe']",1,-3.9851505041933457,-43.00391457209962,2,0,1
106,Zr1Mn2Co0.8,4.23436580898342,-20.9,1,1,1,"['Zr', 'Mn', 'Co']",1,1.443233566945492,-28.309856690495945,1,1,1
107,Zr1Mn2Cu0.8,0.0653942583593902,-31.6,1,1,1,"['Zr', 'Mn', 'Cu']",1,-2.7273208170428607,-39.59910349278497,1,0,1
108,Zr1Mn2Fe0.8,0.5352410447161273,-25.0,1,1,1,"['Zr', 'Mn', 'Fe']",1,-0.6250380826824319,-33.90844789853048,1,1,1
109,Zr1Mn2Fe1.2,3.0000000000000004,-6.8,0,0,2,"['Zr', 'Mn', 'Fe']",1,1.0986122886681098,-29.242709809191677,1,1,1
110,Zr1Mn2Ni0.8,1.7127713430916074,-25.0,1,1,1,"['Zr', 'Mn', 'Ni']",1,0.538112727123249,-30.759922462537666,1,1,1
111,ZrMn3,0.2411986487568453,-29.2,1,1,1,"['Zr', 'Mn']",1,-1.4221344163137652,-36.06610283047705,1,0,1
112,Zr1Mn3.8,0.6251355191411884,-17.0,0,0,2,"['Zr', 'Mn']",1,-0.46978682212419676,-33.4881992611941,1,1,1
113,Zr1Mn1Fe0.7Co0.3,3.557970503429936,-17.6,0,0,2,"['Zr', 'Mn', 'Fe', 'Co']",1,1.269190298998469,-28.78097329160639,1,1,1
114,ErFe2,2.6312347942997414e-05,-57.9,2,2,2,"['Er', 'Fe']",1,-10.545472225426831,-60.762007188697226,2,0,0
115,GdCo2,0.0015511834166558,-48.0,2,2,2,"['Gd', 'Co']",2,-6.468737144748084,-49.72671925431009,2,0,0
116,GdRh2,0.0228427848457927,-49.0,2,2,2,"['Gd', 'Rh']",1,-3.7791199731772287,-42.44621185459584,2,0,0
117,GdRu2,0.0001806068381686,-60.0,2,2,2,"['Gd', 'Ru']",2,-8.619188054084686,-55.54776097118884,2,0,0
118,Ho0.6Zr0.4Co2,0.0714082632290278,-33.0,1,1,1,"['Ho', 'Zr', 'Co']",1,-2.639341684833983,-39.36095334642303,1,0,1
119,Ho0.8Zr0.2Co2,0.0916601060379486,-25.0,1,1,1,"['Ho', 'Zr', 'Co']",1,-2.389668043040072,-38.685113373430696,1,0,1
120,LaRh2,0.001033502871643,-44.3,2,2,2,"['La', 'Rh']",1,-6.874801400285111,-50.82589197243716,2,0,0
121,LiPd2,8.260359420329732e-06,-51.0,2,2,2,"['Li', 'Pd']",1,-11.704042458020956,-63.898133489736495,2,0,0
122,YMgNi4,2.002733907859158,-35.8,1,1,1,"['Y', 'Mg', 'Ni']",1,0.6945132010585429,-30.33656302691223,1,1,0
123,PrCo2,4.372165653240304e-06,-67.0,2,2,2,"['Pr', 'Co']",2,-12.340252098788564,-65.62028526893296,2,0,0
124,Zr0.02Ti0.98Mn1.5V0.43Cr0.05Fe0.09,10.867245898402093,-27.4,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr', 'Fe']",1,2.3857533018179042,-25.758556090303987,1,1,1
125,Zr0.15Ti0.9Mn1.6V0.2Cr0.2,7.000000000000003,-15.4,0,0,2,"['Zr', 'Ti', 'Mn', 'V', 'Cr']",1,1.9459101490553137,-26.949164687783835,1,1,1
126,Zr0.2Ti0.9Mn1.4V0.2Cr0.4Fe0.2,3.0000000000000004,-25.5,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr', 'Fe']",1,1.0986122886681098,-29.242709809191677,1,1,1
127,Zr0.2Ti0.9Mn1.4V0.2Cr0.4,1.8999999999999984,-26.7,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr']",1,0.6418538861723939,-30.4791061872344,1,1,1
128,Zr0.2Ti0.9Mn1.6V0.2Cr0.2Fe0.2,6.9999999999999964,-30.0,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr', 'Fe']",1,1.9459101490553128,-26.949164687783835,1,1,1
129,Zr0.2Ti0.9Mn1.6V0.2Fe0.2Ni0.2,3.6000000000000028,-23.2,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Fe', 'Ni']",1,1.2809338454620651,-28.749184761316346,1,1,1
130,Zr0.2Ti0.9Mn1.6V0.2Ni0.2,2.700000000000002,-31.7,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Ni']",1,0.9932517730102841,-29.527909510469797,1,1,1
131,Zr0.2Ti0.9Mn1.8V0.2Fe0.2,3.0000000000000004,-29.1,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Fe']",1,1.0986122886681098,-29.242709809191677,1,1,1
132,Zr0.2Ti0.9Mn1.8V0.2,3.0000000000000004,-26.0,1,1,1,"['Zr', 'Ti', 'Mn', 'V']",1,1.0986122886681098,-29.242709809191677,1,1,1
133,Zr0.3Ti0.9Mn1.3V0.2Cr0.2Cu0.05Mo0.05,0.0666150041717367,-15.2,0,0,2,"['Zr', 'Ti', 'Mn', 'V', 'Cr', 'Cu', 'Mo']",1,-2.708825438945379,-39.549038472929155,1,0,1
