,SMILES,E_coh (MPa),T_g (K),R_gyr (A^2),Densities (kg/m^3),E_coh_bin,T_g_bin,R_gyr_bin,Densities_bin,smiles_lenght
105,C=CC(=O)N1CCC(C(=O)NC(CCC)C(=O)Nc2cccc(N3CCCC3)c2)CC1,439.4083804250868,335.4792131996141,1.966150006336457e-19,1108.521462214507,0,1,1,0,53
106,C=C(C)C(=O)NCc1ccc(Br)cc1,587.8519995670447,307.4284092616673,1.3228861223518482e-19,1420.0752067597966,1,0,1,1,25
107,C=CC(=O)N(C)CC(C)C,434.6205021999445,244.6439844778392,5.567276132226454e-20,921.1431579725012,0,0,0,0,18
108,C=CC(=O)N1CCCN(CC(=O)N(C)C)CC1,558.0917923340161,358.5078022292977,1.1654849712775328e-19,1096.3620855517452,1,1,1,0,30
109,C=C(C)C(=O)OCC(O)CSc1ccc(F)c(F)c1,160.28579372149187,373.0131470364055,2.2644738571399256e-18,1294.1341253318162,0,1,1,1,33
110,[13CH2]=[13CH][13C](N)=O,1144.9221986653745,304.37614689095915,2.2697711719893135e-20,1128.202071308939,1,0,0,0,24
111,CCCCC(CC)CO,331.1724423879321,242.49242951292015,6.652040641992505e-20,627.9850022067327,0,0,0,0,11
112,C=CC(=O)NC(C)c1n[nH]c(C)n1,759.6426059827179,368.9468049220936,7.813236163749222e-20,1142.5660612448726,1,1,0,1,26
113,C=CC(=O)N1CCC(C)C1CO,532.9884736171889,287.535740700237,5.816061463931451e-20,1068.859379054387,0,0,0,0,20
114,C=CC(=O)N1CCC(C(=O)N2CCN(C(=O)Cc3ccccc3C)CC2)CC1,512.9684200092621,384.6139709328632,2.440356709242718e-19,1137.2548856924482,0,1,1,1,48
115,C=CC(=O)Nc1cccc(C(=O)O)c1,965.2508543294748,353.0664369862053,9.248658675327372e-20,1234.0641555135771,1,1,0,1,25
116,C=CC(=O)N1CCNCC1C(=O)OCC,578.9427063612387,328.92359584304506,7.618044999021083e-20,1144.6596123797303,1,1,0,1,24
117,C=CC(=O)NCCOCCOCCCC,459.7122219640075,262.50977959569127,1.4326300542211325e-19,998.8778899086728,0,0,1,0,19
118,C=CC(=O)N1CC(O)C1,736.6592982637906,292.50803464892,4.805461939526044e-20,1155.3072026152554,1,0,0,1,17
119,C=CC(=O)N1CCc2ccc(C(=O)O)cc2C1,660.8569015838177,380.4409309429523,1.1527174969714397e-19,1199.2493140000763,1,1,1,1,30
120,C=CC(=O)Oc1cccc(CC)c1,462.1292922842263,236.3136728313442,8.652564223333131e-20,1050.2142293498432,0,0,0,0,21
121,C=CCNC(=O)CN1CCN(C(=O)C=C)CC1,648.4734715408573,326.8677911138926,1.2096075874671202e-19,1109.100028438549,1,1,1,0,29
122,C=CC(=O)NC1(C(=O)O)CCOC1,946.7315838125088,345.8620286490737,6.084331458496874e-20,1264.0255784537344,1,1,0,1,24
123,C=CC(=O)N1CCN(CC(=O)NCc2cccs2)CC1,657.1764169888596,357.3103098759348,1.5733407345109841e-19,1197.2562719384468,1,1,1,1,33
