,SMILES,Free energy of activation (kcal/mol),E_bin
259,CC(=C)c2nnc(C(F)F)nn2,12.456053650012214,0
260,COC(=O)c2nnc(C=C)nn2,12.087705867014789,0
261,COC(=C)c2nnc(c1cnccc1)nn2,12.6788193450205,0
262,c1cc([O-])ccc1c2nnc(C#C)nn2,18.818367401000305,1
263,c1(O)ccccc1c2nnc(c1ccccc1)nn2,14.614057100985582,1
264,FC(F)c2nnc(Br)nn2,11.410623656012108,0
265,c1cc([O-])ccc1c2nnc(c1ccc(N(=O)=O)cc1)nn2,18.274944607016867,1
266,c1cc(C(=O)O)ccc1c2nnc(C(=O)N)nn2,11.147697385105218,0
267,c1cc([O-])ccc1c2nnc(C(C)=C)nn2,19.151574680015116,1
268,c1cc(OC)ccc1c2nnc(OC)nn2,17.271557715910614,1
269,CSc2nnc(CF)nn2,15.3902857340233,1
270,CC(=C)c2nnc(SC)nn2,16.9364679099719,1
271,CC(=C)c2nnc(C#Cc1ccccc1)nn2,15.212073177973869,1
272,c1cc(C(F)(F)F)ccc1c2nnc(SC)nn2,16.136393934994384,1
273,CC(=O)c2nnc(c1cc(O)ccc1)nn2,12.272821022046797,0
274,c1sccc1c2nnc(SC)nn2,16.82163376311915,1
275,c1cc(C(=O)N)ccc1c2nnc(C(C)=C)nn2,14.834312760071546,1
276,c1ccccc1c2nnc(Cl)nn2,13.73805453705709,0
277,NC(=O)c2nnc(CF)nn2,10.882261077990645,0
278,o1cccc1c2nnc(F)nn2,13.440615271023317,0
279,NC(=O)c2nnc(NC)nn2,19.26452630001529,1
280,c1cc(N)ccc1c2nnc(C)nn2,18.16136547801827,1
281,C=Cc2nnc(C)nn2,16.745077665027075,1
282,FCc2nnc(Cl)nn2,12.716469884996782,0
283,c1cc(C(=O)O)ccc1c2nnc(c1cscc1)nn2,14.66676785699518,1
284,c1cc(NC(=O)C)ccc1c2nnc(c1cncnc1)nn2,14.236296683011922,0
285,COc2nnc(c1ccccc1)nn2,16.443873345002807,1
286,c1cc(C(F)(F)F)ccc1c2nnc(c1c(O)cccc1)nn2,13.923169691946416,0
287,NC(=O)c2nnc(c1ccncc1)nn2,10.827667794985802,0
288,c1cc(N(=O)=O)ccc1c2nnc(c1ccc(N(=O)=O)cc1)nn2,12.78361334796994,0
289,Nc2nnc(Cl)nn2,20.09095565306895,1
290,FCc2nnc(c1ncncc1)nn2,11.591346247983864,0
291,NC(=O)c2nnc(C(C)=C)nn2,11.773323858023792,0
292,c1cc([O-])ccc1c2nnc(c1ncncc1)nn2,17.26026255393913,1
293,COC(=O)c2nnc(c1ncccn1)nn2,9.387534639983471,0
294,NC(=O)c2nnc(c1c(O)cccc1)nn2,11.882510423962142,0
295,c1occc1c2nnc(I)nn2,15.72161048604286,1
296,o1cccc1c2nnc(C(F)(F)F)nn2,12.02934753001945,0
297,c1cc(N)ccc1c2nnc(C(=O)OC)nn2,14.324775451931211,0
298,c1cc(C(F)(F)F)ccc1c2nnc(c1ncccc1)nn2,12.727765046896923,0
299,NC(=O)c2nnc(Br)nn2,10.931206780081087,0
300,CC(=O)c2nnc(NC)nn2,19.36681026704241,1
301,CN(C)c2nnc(I)nn2,21.78083739001144,1
302,CC(=C)c2nnc(OC)nn2,16.964705814971943,1
303,c1sccc1c2nnc(CC)nn2,15.82326694400022,1
304,COC(=C)c2nnc(c1ccccc1)nn2,13.150706113041872,0
305,c1cc(C(F)(F)F)ccc1c2nnc(c1ccc(N)cc1)nn2,16.235540356886744,1
306,c1cc(C(=O)OC)ccc1c2nnc(C(C)(C)C)nn2,19.74206064902241,1
307,c1cc([O-])ccc1c2nnc(F)nn2,16.490936520026665,1
308,s1cccc1c2nnc(Br)nn2,14.859413119865494,1
309,CC(=O)Nc2nnc(CF)nn2,13.20341686905147,0
310,c1occc1c2nnc(N)nn2,22.677547750958983,1
311,c1cc(C(=O)N)ccc1c2nnc(C#Cc1ccccc1)nn2,14.18986101705782,0
312,c1cc(C(=O)N)ccc1c2nnc(c1ccncc1)nn2,13.522191440960036,0
313,c1ccncc1c2nnc(Cl)nn2,13.372216790053328,0
314,c1sccc1c2nnc(c1cnccc1)nn2,14.9805223570591,1
315,FC(F)(F)c2nnc(C(F)(F)F)nn2,8.258018439981646,0
316,CC(=C)c2nnc(I)nn2,15.165637511948423,1
317,O=N(=O)c2nnc(N)nn2,15.693372580971474,1
318,CC(=O)c2nnc(CF)nn2,10.906733929000197,0
319,c1cc(N(=O)=O)ccc1c2nnc(c1cncnc1)nn2,13.02896936699253,0
320,c1cc(N)ccc1c2nnc(c1ccncc1)nn2,16.33468677899312,1
321,O=N(=O)c2nnc(I)nn2,8.724885135944353,0
322,c1cc(OC)ccc1c2nnc(c1ccccc1)nn2,15.585441032958617,1
323,c1cc(C(=O)OC)ccc1c2nnc(C(=O)C)nn2,11.520437731020213,0
324,c1cc(C(=O)[O-])ccc1c2nnc(CF)nn2,13.29942574602309,0
325,FC(F)c2nnc(N)nn2,19.03423049702602,1
326,FCc2nnc(I)nn2,13.948897561095478,0
327,c1cccnc1c2nnc(F)nn2,12.105903628040185,0
328,s1cccc1c2nnc(c1ncncc1)nn2,13.331428705084967,0
329,CC(=C)c2nnc(NC)nn2,21.47147545304344,1
330,c1cc(C(=O)[O-])ccc1c2nnc(c1cocc1)nn2,15.272941551034206,1
331,CC(=O)c2nnc(c1cnccc1)nn2,11.693002706012566,0
332,COC(=O)c2nnc(/C=C/c1ccccc1)nn2,12.863306990911411,0
333,CC(C)(C)c2nnc(C(C)C)nn2,21.24745474000265,1
334,c1cc(C(=O)[O-])ccc1c2nnc(c1cncnc1)nn2,13.851006156985934,0
335,COC(=C)c2nnc(Br)nn2,12.795536019011177,0
336,c1cc(C(=O)O)ccc1c2nnc(c1ccncc1)nn2,13.40672978503753,0
337,c1sccc1c2nnc(OC)nn2,16.45328598005038,1
338,CNc2nnc(Br)nn2,20.332546618172383,1
339,CC(=O)Nc2nnc(C(=O)C)nn2,12.398322822015292,0
340,c1cc(C(=O)N)ccc1c2nnc(C#C)nn2,13.580549777955374,0
341,c1cc(C(=O)O)ccc1c2nnc(c1sccc1)nn2,15.186345308967484,1
342,c1cc(NC(=O)C)ccc1c2nnc(N)nn2,22.62169945002865,1
343,c1cc([O-])ccc1c2nnc(C#Cc1ccccc1)nn2,19.24507352106441,1
344,o1cccc1c2nnc(SC)nn2,16.596985541044273,1
345,c1cc(OC)ccc1c2nncnn2,14.96295210503212,1
346,c1cc(C(=O)OC)ccc1c2nncnn2,13.868576409012912,0
347,c1cc(C(=O)[O-])ccc1c2nnc(c1ncncc1)nn2,12.48868411792983,0
348,c1cc([O-])ccc1c2nnc(NC)nn2,23.05091560601508,1
349,c1occc1c2nnc(c1ncncc1)nn2,13.315113470983482,0
